Symbol Name,KOSPI 200_return,S&P 500_return,US_BOND_return,KOR_BOND_return
2015-01-13,0.002401302,-0.002578565,0.000560333,-0.000130193
2015-01-14,-0.001218076,-0.005813063,0.001972243,0.001722549
2015-01-15,-0.000934997,-0.009247888,0.004106826,-0.001978952
2015-01-16,-0.014404297,0.0134242,-0.003363988,0.001332872
2015-01-20,0.020724961,0.00154995,0.001262718,-0.000324569
2015-01-21,0.005460282,0.004731651,-0.001964446,-0.000519844
2015-01-22,-0.000482723,0.015269768,-0.001215008,-0.000455024
2015-01-23,0.007445567,-0.005491603,0.002749258,0.001235454
2015-01-26,-0.00071908,0.002568451,-0.000994783,0.00038963
2015-01-27,0.008235388,-0.013387844,0.000631466,6.50E-05
2015-01-28,3.97E-05,-0.013495602,0.003325243,0.000681694
2015-01-29,-0.006938662,0.009534703,-0.001257953,0.000291435
2015-01-30,-0.002315739,-0.01299196,0.004020831,0.000745978
2015-02-02,0.002921402,0.012962471,-0.000747871,-0.000161943
2015-02-03,-0.000917761,0.014439469,-0.004056012,0.00132851
2015-02-04,0.004872594,-0.004156037,0.000654514,-0.000550085
2015-02-05,-0.007233704,0.010291402,-0.001744228,-0.000453403
2015-02-06,0.001521339,-0.003418149,-0.005702915,0.00048575
2015-02-09,-0.003597697,-0.004247204,-0.00031729,-0.00055037
2015-02-10,-0.006419,0.010675513,-0.001245148,-0.002073516
2015-02-11,0.002987967,-2.90E-05,-7.33E-05,0.000195081
2015-02-12,-0.002777778,0.00964453,0.00031781,-0.000584521
2015-02-13,0.008275806,0.004074734,-0.001515226,0.000682137
2015-02-17,0.002442345,0.001597528,-0.00303505,0.000422248
2015-02-23,0.001717458,0.004437377,0.002847884,-0.000357089
2015-02-24,0.001913876,0.002758738,0.003109087,0
2015-02-25,0.006685769,-0.000765784,0.000707749,0.001006039
2015-02-26,-0.000118596,-0.001475973,-0.002999707,0.000162043
2015-02-27,-0.005811885,-0.002956309,0.001712287,0.000453888
2015-03-02,0.008709139,0.00612497,-0.003369881,0.000874613
2015-03-03,0.003351074,-0.004538606,-0.001053586,3.27E-05
2015-03-04,-0.000746562,-0.004388504,0.000515085,0.000226636
2015-03-05,-0.000589831,0.001196075,0.000318698,0.000420453
2015-03-06,0.007082153,-0.014173933,-0.004975002,0.001035552
2015-03-09,-0.012462885,0.003944459,0.001995025,1.57E-05
2015-03-10,-0.004035289,-0.016961379,0.002212281,-0.00035934
2015-03-11,0.0016286,-0.001917658,0.000907486,0.001405198
2015-03-12,-0.007455584,0.012601459,0.000416575,0
2015-03-13,0.007591498,-0.006074687,-0.000440896,0.000913729
2015-03-16,0.00103101,0.013533652,0.00156832,0.00061886
2015-03-17,0.022738076,-0.003320216,0.000880799,-0.000292646
2015-03-18,0.000154931,0.012158436,0.005695707,0.000553473
2015-03-19,0.002981953,-0.004872589,-0.002333439,0.001074966
2015-03-20,-0.001119734,0.009012717,0.001973444,0.000911113
2015-03-23,0.00096637,-0.001745648,0.000364733,0.000292591
2015-03-24,0.000810967,-0.006139459,0.001628546,6.50E-05
2015-03-25,-0.000848896,-0.014558929,-0.001747234,0.000584973
2015-03-26,-0.011392601,-0.002377429,-0.002722676,0
2015-03-27,-0.001757881,0.002368504,0.002071958,0.000519672
2015-03-30,0.002191438,0.01223666,-0.000121628,0.000908954
2015-03-31,0.004607575,-0.008795728,0.00116777,0.000551364
2015-04-01,-0.008978545,-0.003965395,0.002478616,-3.24E-05
2015-04-02,7.84E-05,0.003529657,-0.001672565,0.000226914
2015-04-06,0.007608141,0.006608739,0.000728421,0.000420717
2015-04-07,-0.000194606,-0.002061885,0.000460997,-0.000194372
2015-04-08,0.006345375,0.002682618,-0.000339526,-0.000226211
2015-04-09,-0.000696298,0.004457467,-0.002231926,0.001133714
2015-04-10,0.014013084,0.005202804,-2.43E-05,-0.000356095
2015-04-13,0.005840809,-0.00458122,0.000851022,-0.000582909
2015-04-14,0.007932291,0.001629684,0.001409067,-6.48E-05
2015-04-15,0.000753097,0.005148294,0.000339641,0.000453667
2015-04-16,0.010083907,-0.000778495,0.000121259,-0.000194341
2015-04-17,-0.000633265,-0.011311218,0.000945707,0.001101478
2015-04-20,0.001006411,0.009235145,-0.001187073,-0.000129443
2015-04-21,-0.001415007,-0.00148067,-0.000703388,-0.00025892
2015-04-22,0.00175262,0.005087518,-0.002961165,-0.000129493
2015-04-23,0.014703693,0.00235773,0.001338916,-0.001197369
2015-04-24,-0.00564951,0.002252796,0.001677485,-0.000875241
2015-04-27,-0.003689356,-0.004141305,-0.000412601,-0.000129779
2015-04-28,-0.005554527,0.00276919,-0.002500911,-0.001460202
2015-04-29,-0.001936325,-0.003740377,-0.001728251,-0.000422453
2015-04-30,-0.00600679,-0.010128865,9.75E-05,-0.00013004
2015-05-04,0.003415659,0.013895882,-0.003852249,-0.001463146
2015-05-06,-0.012344294,-0.016240323,-0.003353159,-0.002636919
2015-05-07,-0.005908419,0.003773766,0.001719057,0.000228537
2015-05-08,-0.006324532,0.013457854,0.002157392,0.003394021
2015-05-11,0.002607262,-0.005089552,-0.004647977,-0.000227712
2015-05-12,-0.000267697,-0.002949656,0.000516123,-0.002342107
2015-05-13,0.00700023,-0.00030489,-0.000491292,0.002314991
2015-05-14,0.001671415,0.010779231,0.001597483,0.000618235
2015-05-15,-0.008949903,0.000768469,0.003116259,-0.000650372
2015-05-18,0.002449011,0.003047962,-0.003057655,-0.000130159
2015-05-19,0.003626369,-0.000643434,-0.002380018,-0.000390528
2015-05-20,0.009280389,-0.000930525,0.001082171,0.000944144
2015-05-21,-0.010174857,0.002337888,0.002505958,-9.76E-05
2015-05-22,0.012830275,-0.002233882,-0.001029286,0.000650583
2015-05-26,-0.002330564,-0.01028193,0.002624929,0.000617652
2015-05-27,-0.019780717,0.009162627,0.000195743,0.001202054
2015-05-28,-0.000384379,-0.001266788,0.000366946,0.000681428
2015-05-29,0.001268938,-0.0063184,0.000709168,0.002042291
2015-06-01,-0.006336649,0.002059419,-0.0023948,-0.000194165
2015-06-02,-0.009468965,-0.001008652,-0.002669998,0.000388404
2015-06-03,-0.008505989,0.002118885,-0.003438536,-0.001391242
2015-06-04,0.005352013,-0.008623177,0.002193469,-0.000323395
2015-06-05,-0.002074608,-0.001436178,-0.003221523,0.001036521
2015-06-08,-0.002863419,-0.006474487,0.000690795,0.000226635
2015-06-09,-0.002753629,0.000418414,-0.001627179,0.000372245
2015-06-10,-0.005522465,0.012042401,-0.001753303,-0.000890419
2015-06-11,0.00083297,0.001738552,0.003389076,-0.001287041
2015-06-12,-0.002615726,-0.0069943,-4.93E-05,0.001520497
2015-06-15,-0.003655726,-0.004622489,0.000961562,3.30E-05
2015-06-16,-0.008973439,0.005689805,0.001601064,-6.60E-05
2015-06-17,0.002374341,0.001979688,0.000270516,-0.001221427
2015-06-18,0.002368717,0.009902687,-0.000368786,0.000958164
2015-06-19,0.000680899,-0.005303502,0.00241029,0.000726332
2015-06-22,0.004602946,0.006094816,-0.003950242,-0.000857661
2015-06-23,0.014064305,0.000635938,-0.001231648,-9.90E-05
2015-06-24,0.001650165,-0.007353357,0.001331821,-0.000263964
2015-06-25,-0.00447164,-0.002973565,-0.000862069,-0.000231029
2015-06-26,0.002679275,-0.000390047,-0.001947492,0.000165059
2015-06-29,-0.012653254,-0.020866147,0.005458677,0.000825759
2015-06-30,0.004019741,0.002658385,-0.001031764,9.89E-05
2015-07-01,0.011099219,0.00693613,-0.002778802,-0.000330358
2015-07-02,0.001685812,-0.000308074,0.001948116,-0.000957216
2015-07-06,-0.028180039,-0.003861748,0.003494868,0.001024169
2015-07-07,-0.001006847,0.006080937,0.00154514,-3.30E-05
2015-07-08,-0.012537795,-0.016652733,0.001959056,0.00075927
2015-07-09,0.007471217,0.0022622,-0.003617167,-0.000197764
2015-07-10,0.000243141,0.012338457,-0.003507653,-0.000164836
2015-07-13,0.012194628,0.011066059,-0.001329231,0.000164863
2015-07-14,-0.004803074,0.004453229,0.001503537,0.000197803
2015-07-15,0.004062098,-0.000734963,0.001845836,0.000230724
2015-07-16,0.007290206,0.008014615,0.000196526,0.00023127
2015-07-17,-0.004931006,0.001106252,9.82E-05,0.000395345
2015-07-20,-0.005275147,0.00077117,-0.001203369,0.000230527
2015-07-21,0.005785224,-0.004261657,0.001352348,0.000230474
2015-07-22,-0.009866187,-0.002387682,0.000441989,0.00069186
2015-07-23,-0.0022995,-0.00567604,0.002135336,0.001217693
2015-07-24,-0.00970442,-0.010703328,0.000661278,0.000493414
2015-07-27,0.000285819,-0.00577501,0.00178672,9.85E-05
2015-07-28,0.000938852,0.012386102,-0.001392622,-0.000690132
2015-07-29,0.003099384,0.007318763,-0.000880777,0.000361435
2015-07-30,-0.009594666,2.85E-05,0.000563215,-0.000492687
2015-07-31,0.002832396,-0.002271617,0.002838962,-0.000822148
2015-08-03,-0.011543185,-0.002756864,0.001635103,0.000461045
2015-08-04,0.008572138,-0.002249719,-0.002948128,-0.000395084
2015-08-05,-0.001765551,0.00311467,-0.001637261,-0.00042753
2015-08-06,-0.012668641,-0.007752972,0.001713377,0.00032901
2015-08-07,-0.001041493,-0.002874887,0.001832621,0.000164451
2015-08-10,-0.002543893,0.012808233,-0.00195122,0.00098714
2015-08-11,-0.005309809,-0.009557167,0.003641251,0.0007562
2015-08-12,-0.002816191,0.000950064,-0.000365239,0.001083903
2015-08-13,0.000337211,-0.001275137,-0.001558922,-0.000459087
2015-08-17,-0.008216754,0.009143751,0.000805074,0.000196842
2015-08-18,-0.000722267,-0.002625521,-0.001048192,0.000262404
2015-08-19,-0.003954082,-0.008254964,0.00295266,-0.000360711
2015-08-20,-0.011439792,-0.02110011,0.001386828,0.000754487
2015-08-21,-0.019214992,-0.031850982,0.001627873,0.000459502
2015-08-24,-0.024698424,-0.039413666,0.001091571,0.000655279
2015-08-25,0.006951654,-0.013522008,-0.002980373,-0.000458395
2015-08-26,0.020800646,0.039033845,-0.003329526,-0.000425848
2015-08-27,0.005401607,0.024297736,-4.88E-05,0.000294943
2015-08-28,0.014894732,0.000608756,-0.000243855,-0.000262095
2015-08-31,0.001936733,-0.0083917,-0.001341529,-0.00029553
2015-09-01,-0.013960481,-0.029576408,0.001880663,0.00013112
2015-09-02,0.001568286,0.01829297,-0.001194539,0.000852767
2015-09-03,0.002131269,0.001164784,0.001244783,0.000459066
2015-09-04,-0.010850694,-0.015329578,0.00146263,0.001146245
2015-09-08,-0.000614305,0.02508302,-0.002701913,-0.000392939
2015-09-09,0.029153495,-0.013897563,0.00058578,-0.000327082
2015-09-10,0.011860068,0.005277955,-0.001000122,0.000959557
2015-09-11,-0.014503752,0.004487038,0.001562729,-9.93E-05
2015-09-14,-0.002909215,-0.004089646,0.000316934,-0.000463021
2015-09-15,0.002274093,0.012831344,-0.004362555,0.000595843
2015-09-16,0.022218417,0.008705367,-0.000440615,-0.000462959
2015-09-17,0.002135857,-0.002561006,0.004579517,-0.000198588
2015-09-18,0.007647624,-0.016164205,0.00238902,0.001886366
2015-09-21,-0.018248175,0.004565814,-0.002796761,0.000858901
2015-09-22,0.008279824,-0.012318439,0.002633889,-0.000198083
2015-09-23,-0.018518519,-0.002048653,-0.000291886,0.000263966
2015-09-24,0,-0.003362974,0.001167883,-0.000362931
2015-09-25,-0.002006318,-0.000465781,-0.001409546,0.000660276
2015-09-30,0.012489841,-0.005856038,0.004283281,0.001682505
2015-10-01,0.008068945,0.001973927,0.000508894,-0.000955251
2015-10-02,-0.006160422,0.014315269,0.002664277,0.000560428
2015-10-05,0.003499895,0.018289808,-0.002657197,0.000494393
2015-10-06,0.009244474,-0.003588234,0.000799283,-0.000461008
2015-10-07,0.013906237,0.008035678,-0.00125847,-0.000791002
2015-10-08,0.010266097,0.008818386,-0.001381215,6.58E-05
2015-10-13,8.13E-05,-0.004837516,0.002402271,-0.000692037
2015-10-14,-0.004470818,-0.004716298,0.002662794,-0.000362859
2015-10-15,0.012043766,0.014852776,-0.001617576,0.001253861
2015-10-16,-0.002097705,0.004570474,-0.000386913,0.000197855
2015-10-19,0.000404253,0.000270522,-0.000145148,-6.57E-05
2015-10-20,0.004283347,-0.001421083,-0.001742034,3.26E-05
